denies; 1;
souldiours; 1;
porches; 1;
camelions; 1;
lonelinesse; 1;
kept; 4;
belike; 2;
canst; 3;
blurres; 1;
retaine; 1;
stay; 11;
conuerse; 1;
creature; 2;
drossie; 1;
exceed; 1;
quaintly; 1;
braines; 5;
dreaded; 1;
begun; 4;
diligence; 1;
forcd; 2;
iealousie; 2;
translate; 2;
sings; 4;
force; 4;
props; 1;
closely; 1;
pesant; 2;
cerimony; 2;
scull; 6;
hid; 2;
hic; 1;
finds; 1;
innocent; 1;
deliuer; 2;
neighbor; 1;
him; 178;
since; 15;
skyish; 1;
changed; 1;
finde; 13;
remainder; 1;
twixt; 2;
sepulcher; 1;
his; 285;
hit; 5;
exact; 1;
illume; 1;
medicine; 1;
flowers; 2;
especial; 1;
illo; 1;
spoakes; 1;
beg; 1;
bee; 16;
cerments; 1;
meane; 12;
bed; 11;
fines; 2;
botch; 1;
carbuncles; 1;
pleasure; 2;
kinde; 11;
meant; 4;
enter; 85;
annuall; 1;
blest; 2;
whole; 8;
owner; 1;
louing; 3;
strangely; 2;
husbands; 3;
gamboll; 1;
christian; 6;
theyl; 2;
approue; 1;
ease; 4;
tribute; 2;
naue; 1;
considered; 1;
politician; 1;
lawes; 1;
vienna; 1;
contracted; 1;
brutus; 1;
arrest; 1;
fatted; 1;
path; 1;
thirties; 1;
bid; 6;
conqueror; 1;
pate; 4;
cracke; 1;
crackd; 1;
applaud; 1;
loued; 3;
shewes; 7;
your; 253;
play; 42;
francisco; 2;
sport; 2;
eare; 17;
louer; 1;
stoupe; 1;
past; 4;
abhorred; 1;
cudgell; 1;
vnreclaimd; 1;
election; 3;
youl; 5;
moore; 1;
night; 38;
proue; 3;
pit; 3;
proud; 4;
step; 2;
hyes; 1;
euer; 12;
pox; 1;
outliue; 1;
nobility; 1;
heroes; 1;
vnkinde; 1;
euen; 21;
impresse; 1;
exterior; 1;
malefactions; 1;
prowd; 1;
strew; 1;
dayly; 1;
countries; 2;
capitall; 2;
winkes; 1;
impittious; 1;
tumbled; 1;
pol; 49;
monstrous; 1;
tricke; 2;
trickd; 1;
gardiners; 1;
exits; 1;
heads; 1;
churches; 1;
absurd; 2;
became; 1;
blood; 12;
goodnight; 9;
quiet; 5;
groaning; 1;
temple; 1;
corrupted; 1;
obey; 7;
curles; 1;
thereunto; 1;
incest; 1;
changeling; 1;
wringing; 1;
sirs; 3;
lucian; 1;
vnbracd; 1;
vsuall; 1;
courteous; 1;
theft; 1;
extinct; 1;
goe; 17;
moone; 4;
god; 25;
whord; 1;
graues; 1;
whore; 1;
sundaies; 1;
haunt; 1;
eterne; 1;
seriuce; 1;
loggets; 1;
best; 11;
gold; 1;
crawling; 1;
coarses; 1;
conuocation; 1;
valiant; 3;
thewes; 1;
sith; 1;
akers; 1;
ladiship; 1;
sits; 4;
sheepskinnes; 1;
sorry; 2;
writers; 1;
physicke; 1;
weel; 13;
handsaw; 1;
bend; 3;
absent; 1;
vnmannerly; 1;
good; 98;
bene; 4;
mistooke; 1;
doue; 2;
canker; 2;
sooner; 2;
primall; 1;
incorrect; 1;
hillo; 1;
crash; 1;
magots; 2;
imagine; 1;
